"id","doi","title","year_published","volume","abstract","authors_keywords","document_type","publication_type","language","reprint_address","issn","eissn","source_abbreviation_29_character","iso_source_abbreviation","publication_date","issue","beginning_page","ending_page","page_count","web_of_science_categories","research_areas","document_delivery_number","accession_number","keyword_plus","open_access_indicator","pudmed_id","special_issue","book_series_title","meeting_abstract","editors","funding_agency_grant_number","id_conference","id_journal"
"NEWKIRK T, 2006, EDUC LEADERSHIP, V64, P62",NA,"MEDIA AND LITERACY: WHAT'S GOOD?",2006,"64",NA,NA,"ARTICLE","J","ENGLISH","NEWKIRK, T (REPRINT AUTHOR), UNIV NEW HAMPSHIRE, DURHAM, NH 03824 USA.","0013-1784",NA,"EDUC LEADERSHIP","EDUC. LEADERSHIP","SEP","1","62","66","5","EDUCATION & EDUCATIONAL RESEARCH","EDUCATION & EDUCATIONAL RESEARCH","083GS","ISI000240445000011",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EDUCATIONAL LEADERSHIP"
"TRIER J, 2006, J ADOLESC ADULT LIT, V50, P68, DOI 10.1598/JAAL.50.1.7","10.1598/JAAL.50.1.7","EXEMPLARY INTRODUCTORY CRITICAL MEDIA LITERACY DOCUMENTARIES",2006,"50",NA,NA,"REVIEW","J","ENGLISH","TRIER, J (REPRINT AUTHOR), UNIV N CAROLINA, SCH EDUC, MEDIA LITERACY DEPT, PEABODY HALL,RM 201F, CHAPEL HILL, NC 27599 USA.","1081-3004",NA,"J ADOLESC ADULT LIT","J. ADOLESC. ADULT LIT.","SEP","1","68","71","4","EDUCATION & EDUCATIONAL RESEARCH","EDUCATION & EDUCATIONAL RESEARCH","085ZH","ISI000240642400007","AUSTRALIA; PEDAGOGY",NA,NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF ADOLESCENT & ADULT LITERACY"
"BROSSARD D, 2006, SCI COMMUN, V28, P47, DOI 10.1177/1075547006291345","10.1177/1075547006291345","DO THEY KNOW WHAT THEY READ? BUILDING A SCIENTIFIC LITERACY MEASUREMENT INSTRUMENT BASED ON SCIENCE MEDIA COVERAGE",2006,"28","THE AUTHORS TESTED A NOVEL APPROACH TO THE CONCEPTUALIZATION AND MEASUREMENT OF A DIMENSION OF SCIENTIFIC LITERACY, THE UNDERSTANDING OF SCIENTIFIC AND TECHNICAL TERMS. THROUGH AN ANALYSIS OF THE MEDIA'S USE OF SCIENTIFIC AND TECHNICAL TERMS RANDOMLY SELECTED FROM A SCIENTIFIC DICTIONARY, THE AUTHORS IDENTIFIED THE THIRTY-ONE TERMS MOST OFTEN USED IN THE MEDIA. THE AUTHORS ARGUE THAT THESE TERMS REPRESENT WHAT AN INDIVIDUAL IS EXPECTED TO KNOW WITHIN THE BOUNDS OF NORMAL CIVIC DISCOURSE. THE MEASURE THAT WAS DEVELOPED THEREFORE REPRESENTS A CONCEPTUALIZATION OF A ""CIVICALLY LITERATE"" SCIENTIFIC VOCABULARY THAT AVOIDS THE POSSIBLE BIASES THAT COULD BE ASSOCIATED WITH A SELECTION OF TERMS BASED SOLELY ON EXPERTS' VIEWS. SCIENTIFIC LITERACY RESULTS OBTAINED THROUGH THE USE OF THE INSTRUMENT AT THE PILOT-TEST LEVEL ARE DISCUSSED AND CONTRASTED WITH THOSE OBTAINED WHEN USING THE NATIONAL SCIENCE FOUNDATION'S SCALE, WHICH IS THE MOST WIDELY CITED PUBLIC SCIENTIFIC LITERACY MEASUREMENT INSTRUMENT BASED ON A MORE CONVENTIONAL APPROACH TO SCIENTIFIC LITERACY.","SCIENTIFIC LITERACY; MEASURE; INSTRUMENT; SCIENCE MEDIA; SCIENTIFIC;   KNOWLEDGE","ARTICLE","J","ENGLISH","BROSSARD, D (REPRINT AUTHOR), UNIV WISCONSIN, SCH JOURNALISM & MASS COMMUN, 821 UNIV AVE, MADISON, WI 53706 USA.","1075-5470",NA,"SCI COMMUN","SCI. COMMUN.","SEP","1","47","63","17","COMMUNICATION","COMMUNICATION","071VE","ISI000239631200002",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCIENCE COMMUNICATION"
"WILKSCH SM, 2006, INT J EAT DISORDER, V39, P385, DOI 10.1002/EAR.20237","10.1002/EAR.20237","IMPACT OF INTERACTIVE SCHOOL-BASED MEDIA LITERACY LESSONS FOR REDUCING INTERNALIZATION OF MEDIA IDEALS IN YOUNG ADOLESCENT GIRLS AND BOYS",2006,"39","OBJECTIVE: THE PRIMARY OBJECTIVE OF THE CURRENT STUDY WAS TO EXAMINE THE EFFICACY OF SINGLE MEDIA LITERACY LESSONS IN REDUCING MEDIA INTERNALIZATION IN YOUNG ADOLESCENTS. METHOD: ELEVEN CLASSES OF 237 STUDENTS (100 GIRLS AND 137 BOYS MEAN AGE 13.79 YEARS, SD = .42) RANDOMLY RECEIVED 1 OF 6 LESSONS. EATING DISORDER RISK FACTORS WERE ASSESSED AT BASELINE, AND THE SOCIOCULTURAL ATTITUDES TOWARDS APPEARANCE QUESTIONNAIRE-3 (SATAQ-3) WAS USED TO ASSESS MEDIA INTERNALIZATION POSTINTERVENTION. RESULTS: AT POSTINTERVENTION, BOYS HAD SIGNIFICANTLY LOWER SATAQ-3 SCORES ON 4 OF THE 5 SUBSCALES (EFFECT SIZES = .42. - 71), WHEREAS GIRLS HAD SIGNIFICANTLY LOWER SCORES ON 1 SUBSCALE (EFFECT SIZE = .54). HIGHER. BASELINE LEVELS OF DIETARY RESTRAINT, MAGAZINES BOUGHT/READ, AND PERCEIVED SOCIOCULTURAL PRESSURE PREDICTED SMALLER REDUCTIONS IN BOYS' SCORES, WHEREAS DEPRESSION PREDICTED SMALLER REDUCTIONS IN GIRLS' SCORES. CONCLUSION: THE CURRENT STUDY PROVIDES SUPPORT THAT BOYS BE INCLUDED IN EATING DISORDER PREVENTION PROGRAMS AND THAT MEDIA LITERACY MAY REPRESENT A PROMISING PREVENTION APPROACH. (C) 2006 BY WILEY PERIODICALS, INC.","SCHOOL-BASED MEDIA LITERACY LESSONS; INTERNALIZATION OF MEDIA IDEALS;;   YOUNG ADOLESCENT GIRLS; YOUNG ADOLESCENT BOYS","ARTICLE; PROCEEDINGS PAPER","J","ENGLISH","WILKSCH, SM (REPRINT AUTHOR), FLINDERS UNIV S AUSTRALIA, SCH PSYCHOL, POB 2100, ADELAIDE, SA 5001, AUSTRALIA.","0276-3478",NA,"INT J EAT DISORDER","INT. J. EATING DISORD.","JUL","5","385","393","9","PSYCHOLOGY, CLINICAL; NUTRITION & DIETETICS; PSYCHIATRY; PSYCHOLOGY","PSYCHOLOGY; NUTRITION & DIETETICS; PSYCHIATRY","053ZB","ISI000238343800005","DUAL-PATHWAY MODEL; EATING-DISORDERS; RISK-FACTORS; BODY;   DISSATISFACTION; PREVENTION PROGRAMS; DIETARY RESTRAINT;;   BULIMIA-NERVOSA; SELF-ESTEEM; BEHAVIORS; WEIGHT",NA,"16528696",NA,NA,NA,NA,NA,"INTERNATIONAL CONFERENCE ON EATING DISORDERS OF THE;   ACADEMY-FOR-EATING-DISORDERS","INTERNATIONAL JOURNAL OF EATING DISORDERS"
"BRESCIA W, 2006, BRIT J EDUC TECHNOL, V37, P496, DOI 10.1111/J.1467-8535.2006.00607_6.X","10.1111/J.1467-8535.2006.00607_6.X","MEDIA LITERACY: TRANSFORMING CURRICULUM AND TEACHING",2006,"37",NA,NA,"BOOK REVIEW","J","ENGLISH","BRESCIA, W (REPRINT AUTHOR), UNIV ARKANSAS, FAYETTEVILLE, AR 72701 USA.","0007-1013",NA,"BRIT J EDUC TECHNOL","BR. J. EDUC. TECHNOL.","MAY","3","496","496","1","EDUCATION & EDUCATIONAL RESEARCH","EDUCATION & EDUCATIONAL RESEARCH","031PT","ISI000236717200016",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY"
"VARGAS L, 2006, HISPANIC J BEHAV SCI, V28, P267, DOI 10.1177/0739986305285823","10.1177/0739986305285823","TRANSNATIONAL MEDIA LITERACY - ANALYTIC REFLECTIONS ON A PROGRAM WITH LATINA TEENS",2006,"28","TRANSNATIONAL LATINA TEENS USE MEDIA AS KEY CULTURAL RESOURCES TO MANAGE THEIR PASSAGE TO WOMANHOOD WHILE BUILDING IDENTITIES AS U.S. CITIZENS. THIS ARTICLE EXAMINES THE CHALLENGES OF MEDIA LITERACY WITHIN THE TRANSNATIONAL CONTEXT OF WORKING-CLASS LATINAS. IT PRESENTS FINDINGS OF AN ACTION-RESEARCH PROJECT WITH 12 LATINA TEENS, WHICH WAS GROUNDED ON FREIRE'S (1999) PEDAGOGY AND WILLIS'S (1981) INSIGHTS ABOUT CLASS CULTURE. THE STUDY FOUND THAT THE HYBRIDITY OF THE TEENS' MEDIA PRACTICES CAME NOT ONLY FROM THE MAINSTREAM AND THE LATINO AND LATINA MEDIA BUT ALSO FROM THE BLACK MEDIA. THE ARTICLE SUGGESTS THAT MEDIA EDUCATION CAN FURTHER ENGLISH AND SPANISH LITERACY AND THAT CURRICULUM DESIGN MUST TAKE INTO ACCOUNT THAT IMMIGRANT TEENS ACT AS CULTURAL BROKERS FOR THEIR PARENTS.","MEDIA LITERACY; MEDIA EDUCATION; LATINAS; TEENS; ACTION RESEARCH;;   CULTURAL CAPITAL","ARTICLE; PROCEEDINGS PAPER","J","ENGLISH","VARGAS, L (REPRINT AUTHOR), UNIV N CAROLINA, SCH JOURNALISM & MASS COMMUN, CAMPUS BOX 3365, CHAPEL HILL, NC 27599 USA.","0739-9863","1552-6364","HISPANIC J BEHAV SCI","HISP. J. BEHAV. SCI.","MAY","2","267","285","19","PSYCHOLOGY, MULTIDISCIPLINARY","PSYCHOLOGY","038CA","ISI000237194700006",NA,NA,NA,NA,NA,NA,NA,NA,"SUMMIT OF THE ACTION-COALITION-FOR-MEDIA-EDUCATION","HISPANIC JOURNAL OF BEHAVIORAL SCIENCES"
"WEASENFORTH D, 2006, LANG LEARN TECHNOL, V10, P25",NA,"LITERACY IN THE NEW MEDIA AGE",2006,"10",NA,NA,"BOOK REVIEW","J","ENGLISH","WEASENFORTH, D (REPRINT AUTHOR), COLLIN CTY COMMUNITY COLL, PLANO, TX 75074 USA.","1094-3501",NA,"LANG LEARN TECHNOL","LANG. LEARN. TECHNOL.","MAY","2","25","28","4","EDUCATION & EDUCATIONAL RESEARCH; LINGUISTICS","EDUCATION & EDUCATIONAL RESEARCH; LINGUISTICS","043LR","ISI000237603100005",NA,"GOLD",NA,NA,NA,NA,NA,NA,NA,"LANGUAGE LEARNING & TECHNOLOGY"
"GRUBA P, 2006, LANG LEARN TECHNOL, V10, P77",NA,"PLAYING THE VIDEOTEXT: A MEDIA LITERACY PERSPECTIVE ON VIDEO-MEDIATED L2 LISTENING",2006,"10","ADOPTING A LITERACY PERSPECTIVE TOWARDS STUDENT INTERACTIONS WITH DIGITAL MEDIA CAN EXTEND AND DEVELOP VIEWS OF SECOND LANGUAGE (L2) LISTENING COMPREHENSION. IN THIS CASE STUDY, VARIATIONS IN PLAY ARE GROUNDED IN A MEDIA LITERACY PERSPECTIVE AS A WAY TO FRAME STUDENT WORK WITH AUTHENTIC VIDEOTEXT. TWENTY-TWO AUSTRALIAN STUDENTS OF JAPANESE WATCHED THREE DIGITIZED NEWS CLIPS AS THEY TALKED ALOUD. QUALITATIVE ANALYSIS OF THEIR IMMEDIATELY RETROSPECTIVE VERBAL REPORTS SHOWED THAT LEARNERS DO INDEED PLAY AND REPLAY THE MEDIA TEXTS AS THEY, FOR EXAMPLE, PERFORM, FOOL AROUND, AND ESTABLISH SIGNPOSTS. THE ARTICLE CONCLUDES WITH A DISCUSSION URGING LANGUAGE TEACHERS AND RESEARCHERS TO ADOPT MEDIA LITERACY PERSPECTIVES IN THEIR USE OF ELECTRONIC MEDIA.",NA,"ARTICLE","J","ENGLISH","GRUBA, P (REPRINT AUTHOR), UNIV MELBOURNE, SCH LANGUAGES, PARKVILLE, VIC 3052, AUSTRALIA.","1094-3501",NA,"LANG LEARN TECHNOL","LANG. LEARN. TECHNOL.","MAY","2","77","92","16","EDUCATION & EDUCATIONAL RESEARCH; LINGUISTICS","EDUCATION & EDUCATIONAL RESEARCH; LINGUISTICS","043LR","ISI000237603100010","FOREIGN; COMPREHENSION; STUDENTS; MODEL; 2ND","GOLD",NA,NA,NA,NA,NA,NA,NA,"LANGUAGE LEARNING & TECHNOLOGY"
"ADAIR SM, 2006, PEDIATR DENT, V28, P223",NA,"MEDIA LITERACY AND THE WEB: THE GOOD, THE BAD, AND THE UGLY",2006,"28",NA,NA,"EDITORIAL MATERIAL","J","ENGLISH",NA,"0164-1263",NA,"PEDIATR DENT","PEDIATR. DENT.","MAY-JUN","3","223","223","1","DENTISTRY, ORAL SURGERY & MEDICINE; PEDIATRICS","DENTISTRY, ORAL SURGERY & MEDICINE; PEDIATRICS","053QF","ISI000238319200001",NA,NA,"16805353",NA,NA,NA,NA,NA,NA,"PEDIATRIC DENTISTRY"
"BRUCE D, 2006, TEACH COLL REC, V108, P939",NA,"MEDIA LITERACY: TRANSFORMING CURRICULUM AND TEACHING, 104TH YEARBOOK OF THE NATIONAL SOCIETY OF EDUCATION, PART I.",2006,"108",NA,NA,"BOOK REVIEW","J","ENGLISH","BRUCE, D (REPRINT AUTHOR), KENT STATE UNIV, KENT, OH 44242 USA.","0161-4681",NA,"TEACH COLL REC","TEACH. COLL. REC.","MAY","5","939","943","5","EDUCATION & EDUCATIONAL RESEARCH","EDUCATION & EDUCATIONAL RESEARCH","035RR","ISI000237019900038",NA,NA,NA,NA,NA,NA,NA,NA,NA,"TEACHERS COLLEGE RECORD"
"PRIMACK BA, 2006, ARCH PEDIAT ADOL MED, V160, P369, DOI 10.1001/ARCHPEDI.160.4.369","10.1001/ARCHPEDI.160.4.369","DEVELOPMENT AND VALIDATION OF A SMOKING MEDIA LITERACY SCALE FOR ADOLESCENTS",2006,"160","OBJECTIVES: TO DEVELOP A SMOKING MEDIA LITERACY (SML) SCALE BY USING EMPIRIC SURVEY DATA FROM A LARGE SAMPLE OF HIGH SCHOOL STUDENTS AND TO ASSESS RELIABILITY AND CRITERION VALIDITY OF THE SCALE. DESIGN: ON THE BASIS OF AN ESTABLISHED THEORETICAL FRAMEWORK, 120 POTENTIAL ITEMS WERE GENERATED, AND ITEMS WERE ELIMINATED OR ALTERED ON THE BASIS OF INPUT FROM EXPERTS AND STUDENTS. CROSS-SECTIONAL RESPONSES TO SCALE ITEMS, DEMOGRAPHICS, SMOKING-RELATED VARIABLES, AND MULTIPLE COVARIATES WERE OBTAINED TO REFINE THE SCALE AND DETERMINE ITS RELIABILITY AND VALIDITY. SETTING: ONE LARGE PITTSBURGH, PA, HIGH SCHOOL. PARTICIPANTS: A TOTAL OF 1211 HIGH SCHOOL STUDENTS AGED 14 TO 18 YEARS. MAIN OUTCOME MEASURES: CURRENT SMOKING, SUSCEPTIBILITY TO SMOKING, ATTITUDES TOWARD SMOKING, AND SMOKING NORMS. RESULTS: FACTOR ANALYSIS DEMONSTRATED A STRONG 1-FACTOR SCALE WITH 18 ITEMS (ALPHA=0.87). AFTER CONTROLLING FOR ALL CO-VARIATE DATA, SML HAD A STATISTICALLY SIGNIFICANT AND INDEPENDENT ASSOCIATION WITH CURRENT SMOKING (P=.01), SUSCEPTIBILITY (P<.001), AND ATTITUDES (P<.001), BUT NOT NORMS (P=.42). CONTROLLING FOR ALL COVARIATES, AN INCREASE OF 1 POINT ON THE 10-POINT SML SCALE WAS ASSOCIATED WITH A 22% DECREASE IN THE ODDS OF BEING A SMOKER AND A 31% DECREASE IN THE ODDS OF BEING SUSCEPTIBLE TO SMOKING. CONCLUSIONS: SMOKING MEDIA LITERACY CAN BE MEASURED WITH EXCELLENT RELIABILITY AND CONCURRENT CRITERION VALIDITY. GIVEN THE INDEPENDENT ASSOCIATION BETWEEN SML AND SMOKING, MEDIA LITERACY MAY BE A PROMISING TOOL FOR FUTURE TOBACCO CONTROL INTERVENTIONS.",NA,"ARTICLE","J","ENGLISH","PRIMACK, BA (REPRINT AUTHOR), UNIV PITTSBURGH, SCH MED, CTR RES HLTH CARE, 230 MCKEE PL,SUITE 600,ROOM 4, PITTSBURGH, PA 15213 USA.","1072-4710",NA,"ARCH PEDIAT ADOL MED","ARCH. PEDIATR. ADOLESC. MED.","APR","4","369","374","6","PEDIATRICS","PEDIATRICS","028VI","ISI000236516500005","TOBACCO USE; CIGARETTE-SMOKING; UNITED-STATES; PROMOTION;;   SUSCEPTIBILITY; PREVENTION; INITIATION; INDUSTRY; TRIAL; FILMS","GOLD","16585481",NA,NA,NA,NA,"NCI NIH HHS [K07 CA114315, K07 CA114315-01A1]",NA,"ARCHIVES OF PEDIATRICS & ADOLESCENT MEDICINE"
"AONO Y, 2006, GENES GENET SYST, V81, P153",NA,"SCIENCE LITERACY AND MEDIA",2006,"81",NA,NA,"MEETING ABSTRACT","J","ENGLISH",NA,"1341-7568","1880-5779","GENES GENET SYST","GENES GENET. SYST.","APR","2","153","153","1","BIOCHEMISTRY & MOLECULAR BIOLOGY; GENETICS & HEREDITY","BIOCHEMISTRY & MOLECULAR BIOLOGY; GENETICS & HEREDITY","069RY","ISI000239467100020",NA,NA,NA,NA,NA,"OLS-2-4",NA,NA,NA,"GENES & GENETIC SYSTEMS"
"TRIER J, 2006, J ADOLESC ADULT LIT-a, V49, P622, DOI 10.1598/JAAL.48.7.7","10.1598/JAAL.48.7.7","REPRESENTATIONS OF CRITICAL MEDIA LITERACY IN THE FILM PUMP UP THE VOLUME",2006,"49",NA,NA,"ARTICLE","J","ENGLISH","TRIER, J (REPRINT AUTHOR), UNIV N CAROLINA, MEDIA LITERACY DEPT, SCH EDUC, PEABODY HALL,RM 201F, CHAPEL HILL, NC 27599 USA.","1081-3004",NA,"J ADOLESC ADULT LIT","J. ADOLESC. ADULT LIT.","APR","7","622","625","4","EDUCATION & EDUCATIONAL RESEARCH","EDUCATION & EDUCATIONAL RESEARCH","033ZM","ISI000236893600007","POPULAR-CULTURE; SCHOOL LITERACY",NA,NA,NA,NA,NA,NA,NA,NA,"JOURNAL OF ADOLESCENT & ADULT LITERACY"
"AUSTIN EW, 2006, PEDIATRICS, V117, PE423, DOI 10.1542/PEDS.2005-0953","10.1542/PEDS.2005-0953","BENEFITS AND COSTS OF CHANNEL ONE IN A MIDDLE SCHOOL SETTING AND THE ROLE OF MEDIA-LITERACY TRAINING",2006,"117","OBJECTIVES. CHANNEL ONE IS A PUBLIC-AFFAIRS PROGRAM THAT INCLUDES 10 MINUTES OF NEWS AND 2 MINUTES OF PAID PRODUCT ADVERTISING OR PUBLIC SERVICE ANNOUNCEMENTS. ADVOCATES ASSERT THAT IT INCREASES PUBLIC-AFFAIRS KNOWLEDGE, BUT CRITICS CHARGE THAT IT GARNERS A CAPTIVE AUDIENCE FOR TEEN-TARGETED ADVERTISING. THIS EXPERIMENT ANALYZED THE DIFFERENTIAL EFFECTS OF CHANNEL ONE DEPENDING ON WHETHER EARLY-ADOLESCENT VIEWERS RECEIVED A MEDIA-LITERACY LESSON IN CONJUNCTION WITH VIEWING THE PROGRAM. OUTCOMES INCLUDED PERCEPTIONS OF CHANNEL ONE NEWS PROGRAMMING, RECALL OF PROGRAM CONTENT AND ADVERTISING, MATERIALISM, AND POLITICAL EFFICACY. METHODS. RESEARCHERS USED A POSTTEST-ONLY FIELD EXPERIMENT (N = 240) OF SEVENTH-AND EIGHTH-GRADE STUDENTS USING RANDOM ASSIGNMENT TO CONDITIONS. CONDITIONS INCLUDED A CONTROL GROUP, A GROUP THAT RECEIVED A FACT-BASED LESSON, AND A GROUP THAT RECEIVED THE SAME LESSON CONTENT USING A MORE EMOTIVE TEACHING STYLE. IT WAS EXPECTED THAT THE EMOTION-ADDED LESSON CONDITION WOULD BE MORE EFFECTIVE THAN THE LOGIC-ONLY LESSON CONDITION BECAUSE OF ITS MOTIVATIONAL COMPONENT. RESULTS. ON AVERAGE, STUDENTS REMEMBERED MORE ADS FROM CHANNEL ONE THAN NEWS STORIES. PARTICIPANTS IN THE CONTROL GROUP REMEMBERED FEWER NEWS STORIES THAN DID THE GROUPS THAT RECEIVED THE LESSONS. STUDENTS REPORTED HAVING PURCHASED DURING THE PRECEDING 3 MONTHS AN AVERAGE OF 2.5 ITEMS ADVERTISED ON THE PROGRAM. BOTH FACT-BASED AND AFFECT-ADDED TRAINING INCREASED STUDENT SKEPTICISM TOWARD ADVERTISERS. AS EXPECTED, STUDENT LIKING OF THE PROGRAM ENHANCED THEIR LEARNING FROM IT AND WAS ASSOCIATED WITH HIGHER LEVELS OF POLITICAL EFFICACY. STUDENTS HELD MISCONCEPTIONS ABOUT THE ROLE OF THEIR SCHOOL IN THE PRODUCTION OF CHANNEL ONE. CONCLUSIONS. THE USE OF CHANNEL ONE BY SCHOOLS CAN HAVE BENEFITS, BUT THESE COME WITH RISK THAT SOME MAY CONSIDER UNACCEPTABLE. ON THE POSITIVE SIDE, STUDENT LIKING OF THE PROGRAM WAS ASSOCIATED WITH THEIR POLITICAL EFFICACY. ALTHOUGH THOSE WHO RESPONDED POSITIVELY TO PROGRAM CONTENT AND PRESENTATION STYLE LEARNED MORE FROM IT, THEY ALSO TENDED TO WANT THINGS THAT THEY SAW IN THE ADVERTISEMENTS. THE DATA THEREFORE SHOW THAT THE PROGRAM CAN PROVIDE SOME BENEFITS TO YOUNG ADOLESCENTS, BUT THE RESULTS ALSO PROVIDE JUSTIFICATION FOR CONCERNS ABOUT THE COMMERCIALIZATION OF THE CLASSROOM.","MEDIA EFFECTS; ADVERTISING; ADOLESCENTS; SCHOOLS; MEDIA LITERACY;;   CHANNEL ONE; PUBLIC AFFAIRS; EFFICACY; CIVIC EDUCATION","ARTICLE","J","ENGLISH","AUSTIN, EW (REPRINT AUTHOR), WASHINGTON STATE UNIV, EDWARD R MURROW SCH COMMUN, POB 642520, PULLMAN, WA 99164 USA.","0031-4005",NA,"PEDIATRICS","PEDIATRICS","MAR","3","E423","E433","11","PEDIATRICS","PEDIATRICS","017QV","ISI000235709000008","ALCOHOL; ADOLESCENTS; EDUCATION","GOLD","16510621",NA,NA,NA,NA,NA,NA,"PEDIATRICS"
"PRIMACK BA, 2006, J ADOLESCENT HEALTH-a, V38, P93, DOI 10.1016/J.JADOHEALTH.2005.11.009","10.1016/J.JADOHEALTH.2005.11.009","ASSOCIATIONS BETWEEN MEDIA LITERACY AND ADOLESCENT SMOKING",2006,"38",NA,NA,"MEETING ABSTRACT","J","ENGLISH",NA,"1054-139X",NA,"J ADOLESCENT HEALTH","J. ADOLESC. HEALTH","FEB","2","93","94","2","PSYCHOLOGY, DEVELOPMENTAL; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH;;   PEDIATRICS","PSYCHOLOGY; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH; PEDIATRICS","007IZ","ISI000234963600003",NA,NA,NA,NA,NA,"2",NA,NA,NA,"JOURNAL OF ADOLESCENT HEALTH"
"SEW JW, 2006, DISCOURSE SOC, V17, P137, DOI 10.1177/0957926506058108","10.1177/0957926506058108","LITERACY IN THE NEW MEDIA AGE.",2006,"17",NA,NA,"BOOK REVIEW","J","ENGLISH","SEW, JW (REPRINT AUTHOR), CHIJ ST THERESAS CONVENT, MEDIA RESOURCE LEARNING MOTHER TONGUE DEPT, SINGAPORE, SINGAPORE.","0957-9265",NA,"DISCOURSE SOC","NISCL. SOC.","JAN","1","137","139","3","COMMUNICATION; PSYCHOLOGY, MULTIDISCIPLINARY; SOCIOLOGY","COMMUNICATION; PSYCHOLOGY; SOCIOLOGY","005NT","ISI000234831800005",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DISCOURSE & SOCIETY"
"ZHANG L, 2006, ELECTRON LIBR, V24, P294, DOI 10.1108/02640470610671169","10.1108/02640470610671169","EFFECTIVELY INCORPORATING INSTRUCTIONAL MEDIA INTO WEB-BASED INFORMATION LITERACY",2006,"24","PURPOSE-THE PAPER SEEKS TO EXPLORE AND DISCUSS IN DETAIL THE APPLICATION OF INSTRUCTIONAL MEDIA FEATURES IN DEVELOPING WEB-BASED LIBRARY INSTRUCTION IN ORDER TO STRENGTHEN STUDENTS' ONLINE LEARNING EXPERIENCE. DESIGN/METHODOLOGY/APPROACH - THE PAPER SURVEYS RESEARCH FINDINGS ON INSTRUCTIONAL MEDIA FEATURES THAT CAN BE INCORPORATED INTO LIBRARY INSTRUCTION IN THE WEB ENVIRONMENT. THE EFFECTIVE USE OF MEDIA ELEMENTS SUCH AS TEXT, COLOR, GRAPHICS, NAVIGATION SYSTEMS, AUDIO, VIDEO, AS WELL AS THE IMPLEMENTATION OF INTERACTION AND FEEDBACK, ARE ANALYZED. EXEMPLARY ILLUSTRATIONS SUPPLEMENT THE DISCUSSIONS OF GUIDELINES FOR THE DESIGN OF SUCCESSFUL ONLINE LIBRARY TUTORIALS. FINDINGS - ACADEMIC LIBRARIES ARE TAKING ADVANTAGE OF TECHNOLOGICAL INNOVATIONS TO EXTEND INSTRUCTIONAL OPPORTUNITIES AND ENRICH TRADITIONAL CLASSROOM-BASED BIBLIOGRAPHIC INSTRUCTION. WEB-BASED LIBRARY INSTRUCTION REQUIRES MORE THAN DUPLICATING PRINT INSTRUCTIONAL MATERIALS ON THE WEB. GOOD ONLINE INFORMATION TUTORIALS SHOULD EFFECTIVELY INCORPORATE MULTIPLE INSTRUCTIONAL MEDIA INTO THE WEB PRESENCE TO CONVEY THE INSTRUCTION IN MULTI-STIMULATING WAYS. PRACTICAL IMPLICATIONS - THE FINDINGS OF THE PAPER WILL BE HELPFUL TO LIBRARIANS WHO PLAN TO DESIGN AND DEVELOP WEB-BASED INSTRUCTION OR ONLINE TUTORIALS FOR THE GREATER ENGAGEMENT OF STUDENTS. ORIGINALITY/VALUE - THE PAPER PROVIDES PRACTICAL HELP TO LIBRARIANS IN OBTAINING AN UNDERSTANDING OF VARIOUS INSTRUCTIONAL MEDIA CAPABILITIES FOR CREATING EFFECTIVE ONLINE INSTRUCTIONAL MATERIALS.","WORLDWIDE WEB; INTERNET; LIBRARY INSTRUCTION; INTERFACE MANAGEMENT;;   INTERACTIVE DEVICES; MULTIMEDIA","ARTICLE","J","ENGLISH","ZHANG, L (REPRINT AUTHOR), MISSISSIPPI STATE UNIV LIB, STARKVILLE, MS USA.","0264-0473",NA,"ELECTRON LIBR","ELECTRON. LIBR.",NA,"3","294","306","13","INFORMATION SCIENCE & LIBRARY SCIENCE","INFORMATION SCIENCE & LIBRARY SCIENCE","070NX","ISI000239530600002","LIBRARY INSTRUCTION; TUTORIALS; DESIGN",NA,NA,NA,NA,NA,NA,NA,NA,"ELECTRONIC LIBRARY"
